,tweet,name_author,user_tag,favourite_count,retweet_count,created_at
57,"Report: Shanghai Will Subsidize EV Purchases With 10,000 Yuan Per Unit For Rest Of 2022 https://t.co/a7p5oOsjuX #Tesla #EV #ClimateChange #Renewables #RenewableEnergy",zxcxz,@Zxcxz_xyz,0,0,2022-06-21 01:20:28+00:00
58,RT @TheTeslaLife: #Tesla #Model3 Battery Degradation Test: 8% Down In 3-Years/102k Miles https://t.co/DAcy6wAW2I https://t.co/DfR5RisnCg,Maria Margiyeva🇺🇦,@MariaMargiyeva,0,3,2022-06-21 01:20:25+00:00
59,"It’s the way… #Tesla #Natick MA

@WholeMarsBlog @Tesla https://t.co/Hfh04Wd9nY",Gentian Rrudho,@grrudho,2,0,2022-06-21 01:17:54+00:00
60,"@business #FascistElonMusk is cracking 
@ElonMusk
 is showing the world his true colors #ApartheidBoy #Fascist #Nazi #Apartheid #Racist #Tesla #BoycottTesla",Oppress The Poor The Only Way To Wealth & Power,@BonesYours,0,0,2022-06-21 01:17:27+00:00
61,"RT @nbaprinceyt: I bought new Turbocharged Camaro LT1 👀👀🏎🏎 link below ⬇️ 

https://t.co/baaO6vIk3c
#camaro #camarolt1 #hellcat #scatpack #m…",amariturbo,@nbaprinceyt,0,1,2022-06-21 01:17:24+00:00
62,"RT @GalaxyHeroesGHC: This is the beginning of how humanity ventured to Mars and beyond..@elonmusk 

#Tesla #SpaceX #GalaxyHeroes #Starship…",景淮,@To100wgo,0,107,2022-06-21 01:17:08+00:00
63,"RT @nbaprinceyt: I bought New Matte Black Rims!!🏎🏎🏎😍😍😍🤝🤝🤝 Link Below or In bio⬇️⬇️⬇️⬇️

https://t.co/y56TytZHb1

#camaro #camarolt1 #hellca…",amariturbo,@nbaprinceyt,0,1,2022-06-21 01:16:59+00:00
64,"RT @GalaxyHeroesGHC: ""It's because of innovators like you &amp; NASA that America continues to lead in space exploration."" @BarackObama on @Spa…",景淮,@To100wgo,0,123,2022-06-21 01:16:33+00:00
65,"@elonmusk I can't wait till you make #robots for all of us to have at home, if it perditions what my next step is I would be very pleased !!!!  As long it doesn't try forcing me into what big companies are selling or trends. I'm sure #Ai is smarter than any weather forecaster . #Tesla",ASICEYE,@RobertR02624409,0,0,2022-06-21 01:15:56+00:00
66,RT @mohammed_jebbar: Meet me at @SelectUSA in Maryland Washington DC on the 27 and 28th June and discover how The Cube is changing the rule…,TheCube,@CubeFloor,0,3,2022-06-21 01:14:05+00:00
67,"#Tesla #FSDbetaCanada recently MCU/infotainment was buggy as hell. Dashcam fails to start recording, have to re-plug the usb to get it to record. Dashcam viewer super slow to start. WiFi won't connect to a MAC secured Hotspot. WiFi wont connect to anything unless MCU is rebooted.",Dmitri,@Dmitri63226268,0,0,2022-06-21 01:14:01+00:00
68,"@Tesla #FascistElonMusk is cracking 
@ElonMusk
 is showing the world his true colors #ApartheidBoy #Fascist #Nazi #Apartheid #Racist #Tesla #BoycottTesla",Oppress The Poor The Only Way To Wealth & Power,@BonesYours,0,0,2022-06-21 01:13:30+00:00
69,"Awesome! Someone just spotted a 2021 Tesla Model 3 🇺🇸 Dual Motor for the very first time in California, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:22+00:00
70,"Smashing! Someone was first to spot a yet unrecognizable Tesla vehicle in California, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:22+00:00
71,"Cool! Someone was first to spot a 2021 Tesla Model 3 🇺🇸 Dual Motor in California, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:21+00:00
72,"Bravo! Someone nailed it by spotting a 2022 Tesla Model Y 🇺🇸 Performance in California, United States 🇺🇸 as the first player! #TeslaRadar #Tesla #UnitedStates #ModelY #Performance",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:21+00:00
73,"Very nice! Someone was first to spot a 2021 Tesla Model 3 🇺🇸 Standard in California, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:21+00:00
74,"Aloha! Someone just spotted a 2022 Tesla Model Y 🇺🇸 Dual Motor for the very first time in California, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates #ModelY",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:21+00:00
75,"Bravo! Someone was first to spot a 2021 Tesla Model 3 🇺🇸 Standard in California, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:20+00:00
76,"Hip, hip, hooray! Someone was first to spot a 2022 Tesla Model 3 🇺🇸 Dual Motor in California, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:20+00:00
77,"Like a boss! Someone was first to spot a 2022 Tesla Model Y 🇺🇸 Performance in California, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates #ModelY #Performance",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:20+00:00
78,"Very nice! Someone was first to spot a 2020 Tesla Model Y 🇺🇸 Dual Motor in Washington, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates #ModelY",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:20+00:00
79,"Cowabunga! Someone nailed it by spotting a 2021 Tesla Model 3 🇺🇸 Standard in California, United States 🇺🇸 as the first player! #TeslaRadar #Tesla #UnitedStates #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:19+00:00
80,"Fresh! Someone just spotted a 2022 Tesla Model 3 🇺🇸 Dual Motor in California, United States 🇺🇸 before anyone else did! #TeslaRadar #Tesla #UnitedStates #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:19+00:00
81,"Wicked! Someone just spotted a 2022 Tesla Model Y 🇺🇸 Dual Motor for the very first time in California, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates #ModelY",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:19+00:00
82,"Hooray! Someone was first to spot a 2021 Tesla Model 3 🇺🇸 Dual Motor in California, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:18+00:00
83,"Yabba dabba doo! Someone was first to spot a 2021 Tesla Model 3 🇺🇸 Dual Motor in California, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:18+00:00
84,"Zing! Someone just spotted a 2021 Tesla Model 3 🇺🇸 Standard in California, United States 🇺🇸 before anyone else did! #TeslaRadar #Tesla #UnitedStates #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:18+00:00
85,"Lo and behold! Someone was first to spot a 2019 Tesla Model 3 🇺🇸 Standard in California, United States! 🇺🇸 #TeslaRadar #Tesla #UnitedStates #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:18+00:00
86,"Way to go! Someone nailed it by spotting a 2021 Tesla Model 3 🇺🇸 Performance in California, United States 🇺🇸 as the first player! #TeslaRadar #Tesla #UnitedStates #Model3 #Performance",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:17+00:00
87,"Zing! Someone nailed it by spotting a yet unrecognizable Tesla vehicle in California, United States 🇺🇸 as the first player! #TeslaRadar #Tesla #UnitedStates",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:17+00:00
88,"Bravo! JamesSpanko just spotted a 2022 Tesla Model 3 🇺🇸 Standard in Ontario, Canada 🇨🇦 before anyone else did! #TeslaRadar #Tesla #Canada #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:17+00:00
89,"Woo-hoo! JamesSpanko nailed it by spotting a 2022 Tesla Model 3 🇺🇸 Standard in Ontario, Canada 🇨🇦 as the first player! #TeslaRadar #Tesla #Canada #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:16+00:00
90,"Great! JamesSpanko just spotted a 2019 Tesla Model 3 🇺🇸 Standard in Ontario, Canada 🇨🇦 before anyone else did! #TeslaRadar #Tesla #Canada #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:16+00:00
91,"Hurrah! JamesSpanko nailed it by spotting a 2022 Tesla Model 3 🇺🇸 Dual Motor in Ontario, Canada 🇨🇦 as the first player! #TeslaRadar #Tesla #Canada #Model3",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:16+00:00
92,"Smashing! JamesSpanko nailed it by spotting a 2022 Tesla Model 3 🇺🇸 Dual Motor in Ontario, Canada 🇨🇦 as the first player! #TeslaRadar #Tesla #Canada #Model3",TeslaRadar Bot,@TeslaradarB,1,0,2022-06-21 01:12:16+00:00
93,"Hip, hip, hooray! JamesSpanko just spotted a 2022 Tesla Model 3 🇺🇸 Dual Motor for the very first time in Ontario, Canada! 🇨🇦 #TeslaRadar #Tesla #Canada #Model3",TeslaRadar Bot,@TeslaradarB,1,0,2022-06-21 01:12:15+00:00
94,"Zing! JamesSpanko nailed it by spotting a 2021 Tesla Model S 🇺🇸 Plaid in Ontario, Canada 🇨🇦 as the first player! #TeslaRadar #Tesla #Canada #ModelS #Plaid",TeslaRadar Bot,@TeslaradarB,1,0,2022-06-21 01:12:15+00:00
95,"Coolio! JamesSpanko just spotted a 2018 Tesla Model 3 🇺🇸 Standard for the very first time in Ontario, Canada! 🇨🇦 #TeslaRadar #Tesla #Canada #Model3",TeslaRadar Bot,@TeslaradarB,1,0,2022-06-21 01:12:15+00:00
96,"Well done! JamesSpanko nailed it by spotting a 2022 Tesla Model Y 🇺🇸 Dual Motor in Ontario, Canada 🇨🇦 as the first player! #TeslaRadar #Tesla #Canada #ModelY",TeslaRadar Bot,@TeslaradarB,1,0,2022-06-21 01:12:14+00:00
97,"Fresh! JamesSpanko just spotted a 2020 Tesla Model Y 🇺🇸 Dual Motor in Ontario, Canada 🇨🇦 before anyone else did! #TeslaRadar #Tesla #Canada #ModelY",TeslaRadar Bot,@TeslaradarB,1,0,2022-06-21 01:12:14+00:00
98,"Nice! JamesSpanko just spotted a 2021 Tesla Model 3 🇺🇸 Standard for the very first time in Ontario, Canada! 🇨🇦 #TeslaRadar #Tesla #Canada #Model3",TeslaRadar Bot,@TeslaradarB,1,0,2022-06-21 01:12:14+00:00
99,"Very nice! JamesSpanko just spotted a 2021 Tesla Model Y 🇺🇸 Dual Motor for the very first time in Ontario, Canada! 🇨🇦 #TeslaRadar #Tesla #Canada #ModelY",TeslaRadar Bot,@TeslaradarB,0,0,2022-06-21 01:12:14+00:00
